Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Domestic violence,Dating violence,Stalking
2014,130794,Yale University,1,Main Campus,12336,1,2,3
2015,130794,Yale University,1,Main Campus,12385,5,0,1
2016,130794,Yale University,1,Main Campus,12458,1,3,1
2017,130794,Yale University,1,Main Campus,12974,2,0,2
